Division_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Borishal,Borishal,2000,Kharif     ,Maize,1103,15470
Borishal,Borishal,2000,Kharif     ,Mashkalai ,3167,559
Borishal,Borishal,2000,Kharif     ,Mug,1292,214
Borishal,Borishal,2000,Kharif     ,Pumkin,6613,16923
Borishal,Borishal,2000,Kharif     ,Brinjal,39905,117680
Borishal,Borishal,2000,Kharif     ,Cucumber,21,5
Borishal,Borishal,2000,Kharif     ,Green papaya,5,1
Borishal,Borishal,2000,Kharif     ,Green banana,1647,1148
Borishal,Borishal,2000,Kharif     ,Jute,30606,24590
Borishal,Borishal,2000,Kharif     ,Aus rice,135,8
Borishal,Borishal,2000,Rabi       ,Boro,35,9
Borishal,Borishal,2000,Rabi       ,Chilli,317,185
Borishal,Borishal,2000,Rabi       ,Corriander,71,81
Borishal,Borishal,2000,Rabi       ,Garlic,33858,22685
Borishal,Borishal,2000,Rabi       ,Grams,23048,23832
Borishal,Borishal,2000,Rabi       ,Kheshari,377,80
Borishal,Borishal,2000,Rabi       ,Lentil,15242,16980
Borishal,Borishal,2000,Rabi       ,Mustard,96,67
Borishal,Borishal,2000,Rabi       ,Onion,8,2
Borishal,Borishal,2000,Rabi       ,Sugarcane,399,2148
Borishal,Borishal,2000,Rabi       ,Sweet Potato,482,11514
Borishal,Borishal,2000,Rabi       ,Wheat,909,1312
Borishal,Borishal,2000,Rabi       ,Potato,22099,57236
Borishal,Borishal,2000,Rabi       ,Cabbage,703,129
Borishal,Borishal,2000,Rabi       ,Boro,96,67
Borishal,Borishal,2000,Rabi       ,Chilli,363,292
Borishal,Borishal,2000,Rabi       ,Corriander,520,297
Borishal,Borishal,2000,Whole Year ,Garlic,252,696
Borishal,Borishal,2000,Whole Year ,Grams,769,11693
Borishal,Borishal,2000,Whole Year ,Kheshari,908,3896970
Borishal,Borishal,2000,Whole Year ,Lentil,8953,2266
Borishal,Borishal,2000,Whole Year ,Mustard,4,34
Borishal,Borishal,2000,Whole Year ,Onion,284,25395
Borishal,Borishal,2000,Whole Year ,Sugarcane,28,379
Borishal,Borishal,2000,Whole Year ,Sweet Potato,89,114
Borishal,Borishal,2000,Whole Year ,Wheat,39,272
Borishal,Borishal,2001,Kharif     ,Potato,27942,7628
Borishal,Borishal,2001,Kharif     ,Cabbage,1595,526
Borishal,Borishal,2001,Kharif     ,Summer vegetables,3191,900
Borishal,Borishal,2001,Kharif     ,Cotton,8552,9055
Borishal,Borishal,2001,Kharif     ,Sesame,3765,7127
Borishal,Borishal,2001,Kharif     ,T.Aman,16,17
Borishal,Borishal,2001,Kharif     ,B.Aman,758700,333828
Borishal,Borishal,2001,Kharif     ,Soyabean,649,60
Borishal,Borishal,2001,Kharif     ,Groundnut,3900,6720
Borishal,Borishal,2001,Kharif     ,Late Summer Vegetables,1434,627
Borishal,Borishal,2001,Kharif     ,Chilli,2667,7129
Borishal,Borishal,2001,Kharif     ,Ginger,1511,730
Borishal,Borishal,2001,Kharif     ,Maize,1165,19232
Borishal,Borishal,2001,Kharif     ,Mashkalai ,2496,324
Borishal,Borishal,2001,Kharif     ,Mug,5124,12405
Borishal,Borishal,2001,Kharif     ,Pumkin,32878,95609
Borishal,Borishal,2001,Kharif     ,Brinjal,1434,627
Borishal,Borishal,2001,Kharif     ,Cucumber,51610,33580
Borishal,Borishal,2001,Kharif     ,Green papaya,487,176
Borishal,Borishal,2001,Rabi       ,Green banana,5,1
Borishal,Borishal,2001,Rabi       ,Bajra,27,9
Borishal,Borishal,2001,Rabi       ,Dry chillies,108,168
Borishal,Borishal,2001,Rabi       ,Boro,47894,50145
Borishal,Borishal,2001,Rabi       ,Chilli,18773,29192
Borishal,Borishal,2001,Rabi       ,Corriander,417,226
Borishal,Borishal,2001,Rabi       ,Garlic,15170,17446
Borishal,Borishal,2001,Rabi       ,Grams,5,1
Borishal,Borishal,2001,Rabi       ,Kheshari,447,2893
Borishal,Borishal,2001,Rabi       ,Lentil,40,12
Borishal,Borishal,2001,Rabi       ,Mustard,380,8465
Borishal,Borishal,2001,Rabi       ,Onion,1,1
Borishal,Borishal,2001,Rabi       ,Sugarcane,544,725
Borishal,Borishal,2001,Rabi       ,Sweet Potato,38119,108906
Borishal,Borishal,2001,Rabi       ,Wheat,3768,528
Borishal,Borishal,2001,Rabi       ,Potato,2,1
Borishal,Borishal,2001,Rabi       ,Cabbage,127,86
Borishal,Borishal,2001,Rabi       ,Boro,307,213
Borishal,Borishal,2001,Whole Year ,Chilli,257,430
Borishal,Borishal,2001,Whole Year ,Corriander,1582,462
Borishal,Borishal,2001,Whole Year ,Garlic,851,3053700
Borishal,Borishal,2001,Whole Year ,Grams,4741,1119
Borishal,Borishal,2001,Whole Year ,Kheshari,490,42470
Borishal,Borishal,2001,Whole Year ,Lentil,31,411
Borishal,Borishal,2001,Whole Year ,Mustard,111,111
Borishal,Borishal,2001,Whole Year ,Onion,8,40
Borishal,Borishal,2002,Kharif     ,Sugarcane,33454,6557
Borishal,Borishal,2002,Kharif     ,Sweet Potato,1925,581
Borishal,Borishal,2002,Kharif     ,Wheat,2050,416
Borishal,Borishal,2002,Kharif     ,Potato,7638,7144
Borishal,Borishal,2002,Kharif     ,Cabbage,2737,6128
Borishal,Borishal,2002,Kharif     ,T.Aman,732262,259953
Borishal,Borishal,2002,Kharif     ,B.Aman,947,140
Borishal,Borishal,2002,Kharif     ,Soyabean,2906,4545
Borishal,Borishal,2002,Kharif     ,Groundnut,1000,100
Borishal,Borishal,2002,Kharif     ,Late Summer Vegetables,3541,3431
Borishal,Borishal,2002,Kharif     ,Chilli,1150,174
Borishal,Borishal,2002,Kharif     ,Ginger,776,8432
Borishal,Borishal,2002,Kharif     ,Maize,490,47
Borishal,Borishal,2002,Kharif     ,Mashkalai ,5157,12140
Borishal,Borishal,2002,Kharif     ,Mug,29066,66329
Borishal,Borishal,2002,Kharif     ,Pumkin,919,180
Borishal,Borishal,2002,Kharif     ,Brinjal,51,0
Borishal,Borishal,2002,Kharif     ,Cucumber,60319,22149
Borishal,Borishal,2002,Kharif     ,Green papaya,32,2
Borishal,Borishal,2002,Rabi       ,Boro,129,39
Borishal,Borishal,2002,Rabi       ,Chilli,83,161
Borishal,Borishal,2002,Rabi       ,Corriander,54264,20186
Borishal,Borishal,2002,Rabi       ,Garlic,17529,18651
Borishal,Borishal,2002,Rabi       ,Grams,1859,688
Borishal,Borishal,2002,Rabi       ,Kheshari,12676,11497
Borishal,Borishal,2002,Rabi       ,Lentil,8,2
Borishal,Borishal,2002,Rabi       ,Mustard,1288,8933
Borishal,Borishal,2002,Rabi       ,Onion,4,1
Borishal,Borishal,2002,Rabi       ,Sugarcane,401,7192
Borishal,Borishal,2002,Rabi       ,Sweet Potato,417,517
Borishal,Borishal,2002,Rabi       ,Wheat,10960,20462
Borishal,Borishal,2002,Rabi       ,Potato,2594,340
Borishal,Borishal,2002,Rabi       ,Cabbage,10,2
Borishal,Borishal,2002,Rabi       ,Boro,408,236
Borishal,Borishal,2002,Rabi       ,Chilli,362,333
Borishal,Borishal,2002,Whole Year ,Corriander,263,379
Borishal,Borishal,2002,Whole Year ,Garlic,19,1006
Borishal,Borishal,2002,Whole Year ,Grams,1,5
Borishal,Borishal,2002,Whole Year ,Kheshari,126,938
Borishal,Borishal,2002,Whole Year ,Lentil,1026,10162
Borishal,Borishal,2002,Whole Year ,Mustard,788,4000
Borishal,Borishal,2002,Whole Year ,Onion,869,3691149
Borishal,Borishal,2002,Whole Year ,Sugarcane,3914,481
Borishal,Borishal,2002,Whole Year ,Sweet Potato,18,0
Borishal,Borishal,2002,Whole Year ,Wheat,111,2075
Borishal,Borishal,2002,Whole Year ,Potato,3968,26176
Borishal,Borishal,2002,Whole Year ,Cabbage,13767,112541
Borishal,Borishal,2002,Whole Year ,other fibres,132,0
Borishal,Borishal,2002,Whole Year ,Other Fresh Fruits,2418,1552
Borishal,Borishal,2002,Whole Year ,Other Vegetables,1767,0
Borishal,Borishal,2002,Whole Year ,Papaya,1544,201409
Borishal,Borishal,2002,Whole Year ,Pome Fruit,1207,62789
Borishal,Borishal,2002,Whole Year ,Potato,2,17
Borishal,Borishal,2002,Whole Year ,Sugarcane,329,22481
Borishal,Borishal,2002,Whole Year ,Sweet potato,50,540
Borishal,Borishal,2002,Whole Year ,Tobacco,51,90
Borishal,Borishal,2002,Whole Year ,Tomato,3356,16627
Borishal,Borishal,2003,Kharif     ,Jute,41178,6959
Borishal,Borishal,2003,Kharif     ,Aus rice,2280,378
Borishal,Borishal,2003,Kharif     ,Summer vegetables,1927,805
Borishal,Borishal,2003,Kharif     ,Cotton,4212,4262
Borishal,Borishal,2003,Kharif     ,Sesame,2920,10702
Borishal,Borishal,2003,Kharif     ,T.Aman,670935,187862
Borishal,Borishal,2003,Kharif     ,B.Aman,492,54
Borishal,Borishal,2003,Kharif     ,Soyabean,12487,30830
Borishal,Borishal,2003,Kharif     ,Groundnut,1245,229
Borishal,Borishal,2003,Kharif     ,Late Summer Vegetables,6246,10718
Borishal,Borishal,2003,Kharif     ,Chilli,1216,662
Borishal,Borishal,2003,Kharif     ,Ginger,846,13250
Borishal,Borishal,2003,Kharif     ,Maize,340,15
Borishal,Borishal,2003,Kharif     ,Mashkalai ,3353,3547
Borishal,Borishal,2003,Kharif     ,Mug,17515,44891
Borishal,Borishal,2003,Kharif     ,Pumkin,245,83
Borishal,Borishal,2003,Kharif     ,Brinjal,1420,299
Borishal,Borishal,2003,Kharif     ,Cucumber,16,18
Borishal,Borishal,2003,Kharif     ,Green papaya,74525,29572
Borishal,Borishal,2003,Kharif     ,Green banana,82,51
Borishal,Borishal,2003,Rabi       ,Boro,113,19
Borishal,Borishal,2003,Rabi       ,Chilli,91,190
Borishal,Borishal,2003,Rabi       ,Corriander,51461,15438
Borishal,Borishal,2003,Rabi       ,Garlic,15060,19819
Borishal,Borishal,2003,Rabi       ,Grams,1560,844
Borishal,Borishal,2003,Rabi       ,Kheshari,21391,19444
Borishal,Borishal,2003,Rabi       ,Lentil,7,2
Borishal,Borishal,2003,Rabi       ,Mustard,1212,6787
Borishal,Borishal,2003,Rabi       ,Onion,22,7
Borishal,Borishal,2003,Rabi       ,Sugarcane,535,11180
Borishal,Borishal,2003,Rabi       ,Sweet Potato,17,3
Borishal,Borishal,2003,Rabi       ,Wheat,614,986
Borishal,Borishal,2003,Rabi       ,Potato,10826,25463
Borishal,Borishal,2003,Rabi       ,Cabbage,307,11
Borishal,Borishal,2003,Rabi       ,Small millets,70,13
Borishal,Borishal,2003,Rabi       ,Wheat,414,123
Borishal,Borishal,2003,Whole Year ,Arecanut,266,189
Borishal,Borishal,2003,Whole Year ,Banana,36,1302
Borishal,Borishal,2003,Whole Year ,Bhindi,101,873
Borishal,Borishal,2003,Whole Year ,Brinjal,1129,19414
Borishal,Borishal,2003,Whole Year ,Citrus Fruit,706,11959
Borishal,Borishal,2003,Whole Year ,Coconut ,839,3285828
Borishal,Borishal,2003,Whole Year ,Coriander,5646,610
Borishal,Borishal,2003,Whole Year ,Cucumber,51,0
Borishal,Borishal,2003,Whole Year ,Grapes,118,2048
Borishal,Borishal,2003,Whole Year ,Mango,3935,58337
Borishal,Borishal,2003,Whole Year ,Orange,13441,224640
Borishal,Borishal,2003,Whole Year ,Other Fresh Fruits,3241,3586
Borishal,Borishal,2003,Whole Year ,Other Vegetables,1783,0
Borishal,Borishal,2003,Whole Year ,Papaya,1381,60038
Borishal,Borishal,2003,Whole Year ,Pome Fruit,1466,83767
Borishal,Borishal,2003,Whole Year ,Sugarcane,454,32386
Borishal,Borishal,2003,Whole Year ,Sweet potato,30,217
Borishal,Borishal,2003,Whole Year ,Tobacco,20,25
Borishal,Borishal,2003,Whole Year ,Tomato,2827,17509
Borishal,Borishal,2004,Kharif     ,Jute,32752,7893
Borishal,Borishal,2004,Kharif     ,Aus rice,1021,403
Borishal,Borishal,2004,Kharif     ,Summer vegetables,1578,923
Borishal,Borishal,2004,Kharif     ,Cotton,8933,7041
Borishal,Borishal,2004,Kharif     ,Sesame,3402,11288
Borishal,Borishal,2004,Kharif     ,T.Aman,857823,684543
Borishal,Borishal,2004,Kharif     ,B.Aman,421,121
Borishal,Borishal,2004,Kharif     ,Soyabean,4300,5693
Borishal,Borishal,2004,Kharif     ,Groundnut,3495,10031
Borishal,Borishal,2004,Kharif     ,Late Summer Vegetables,1464,545
Borishal,Borishal,2004,Kharif     ,Chilli,1324,24824
Borishal,Borishal,2004,Kharif     ,Ginger,1605,172
Borishal,Borishal,2004,Kharif     ,Maize,3166,5860
Borishal,Borishal,2004,Kharif     ,Mashkalai ,24335,85051
Borishal,Borishal,2004,Kharif     ,Mug,661,307
Borishal,Borishal,2004,Kharif     ,Pumkin,1131,691
Borishal,Borishal,2004,Kharif     ,Brinjal,56819,34209
Borishal,Borishal,2004,Kharif     ,Cucumber,76,37
Borishal,Borishal,2004,Rabi       ,Boro,62,24
Borishal,Borishal,2004,Rabi       ,Chilli,155,754
Borishal,Borishal,2004,Rabi       ,Corriander,42106,9516
Borishal,Borishal,2004,Rabi       ,Garlic,14500,21736
Borishal,Borishal,2004,Rabi       ,Grams,226,30
Borishal,Borishal,2004,Rabi       ,Kheshari,11871,14269
Borishal,Borishal,2004,Rabi       ,Lentil,34,4
Borishal,Borishal,2004,Rabi       ,Mustard,3572,25822
Borishal,Borishal,2004,Rabi       ,Onion,3,1
Borishal,Borishal,2004,Rabi       ,Sugarcane,234,4830
Borishal,Borishal,2004,Rabi       ,Sweet Potato,397,897
Borishal,Borishal,2004,Rabi       ,Wheat,9240,21622
Borishal,Borishal,2004,Rabi       ,Potato,186,10
Borishal,Borishal,2004,Rabi       ,Cabbage,36,17
Borishal,Borishal,2004,Rabi       ,Sunflower,27228,9530
Borishal,Borishal,2004,Rabi       ,Wheat,393,88
Borishal,Borishal,2004,Whole Year ,Banana,324,16897
Borishal,Borishal,2004,Whole Year ,Coconut ,837,6413350
Borishal,Borishal,2004,Whole Year ,Coriander,2439,290
Borishal,Borishal,2004,Whole Year ,Potato,2,20
Borishal,Borishal,2004,Whole Year ,Sugarcane,400,34072
Borishal,Borishal,2004,Whole Year ,Sweet potato,33,68
Borishal,Borishal,2004,Whole Year ,Tobacco,49,53
Borishal,Borishal,2004,Whole Year ,Turmeric,4,36
Borishal,Borishal,2005,Kharif     ,Jute,35013,23704
Borishal,Borishal,2005,Kharif     ,Aus rice,993,1888
Borishal,Borishal,2005,Kharif     ,Summer vegetables,2081,1521
Borishal,Borishal,2005,Kharif     ,Cotton,3295,3450
Borishal,Borishal,2005,Kharif     ,Sesame,2178,6175
Borishal,Borishal,2005,Kharif     ,T.Aman,877029,362213
Borishal,Borishal,2005,Kharif     ,B.Aman,410,107
Borishal,Borishal,2005,Kharif     ,Soyabean,3759,3879
Borishal,Borishal,2005,Kharif     ,Groundnut,5958,21538
Borishal,Borishal,2005,Kharif     ,Late Summer Vegetables,1078,747
Borishal,Borishal,2005,Kharif     ,Chilli,985,17025
Borishal,Borishal,2005,Kharif     ,Ginger,1429,301
Borishal,Borishal,2005,Kharif     ,Maize,2303,4394
Borishal,Borishal,2005,Kharif     ,Mashkalai ,25008,69972
Borishal,Borishal,2005,Kharif     ,Mug,854,455
Borishal,Borishal,2005,Kharif     ,Pumkin,421,232
Borishal,Borishal,2005,Kharif     ,Brinjal,69,24
Borishal,Borishal,2005,Rabi       ,Boro,66,125
Borishal,Borishal,2005,Rabi       ,Chilli,58,214
Borishal,Borishal,2005,Rabi       ,Corriander,49105,48172
Borishal,Borishal,2005,Rabi       ,Garlic,22006,29752
Borishal,Borishal,2005,Rabi       ,Grams,205,77
Borishal,Borishal,2005,Rabi       ,Kheshari,12931,9970
Borishal,Borishal,2005,Rabi       ,Lentil,29,11
Borishal,Borishal,2005,Rabi       ,Mustard,1435,10721
Borishal,Borishal,2005,Rabi       ,Onion,16,5
Borishal,Borishal,2005,Rabi       ,Sugarcane,381,9063
Borishal,Borishal,2005,Rabi       ,Sweet Potato,472,752
Borishal,Borishal,2005,Rabi       ,Wheat,23142,55587
Borishal,Borishal,2005,Rabi       ,Potato,162,33
Borishal,Borishal,2005,Rabi       ,Cabbage,11,7
Borishal,Borishal,2005,Rabi       ,Wheat,297,175
Borishal,Borishal,2005,Whole Year ,Arecanut,268,214
Borishal,Borishal,2005,Whole Year ,Banana,303,16231
Borishal,Borishal,2005,Whole Year ,Coconut ,836,3358992
Borishal,Borishal,2005,Whole Year ,Coriander,2962,900
Borishal,Borishal,2005,Whole Year ,Sugarcane,227,20612
Borishal,Borishal,2005,Whole Year ,Sunflower,48677,8401
Borishal,Borishal,2005,Whole Year ,Sweet potato,23,121
Borishal,Borishal,2005,Whole Year ,Tobacco,1,1
Borishal,Borishal,2005,Whole Year ,Turmeric,2,15
Borishal,Borishal,2006,Kharif     ,Jute,26244,3543
Borishal,Borishal,2006,Kharif     ,Aus rice,620,189
Borishal,Borishal,2006,Kharif     ,Summer vegetables,899,451
Borishal,Borishal,2006,Kharif     ,Cotton,1506,1940
Borishal,Borishal,2006,Kharif     ,Sesame,1754,5658
Borishal,Borishal,2006,Kharif     ,T.Aman,644007,43148
Borishal,Borishal,2006,Kharif     ,B.Aman,1021,182
Borishal,Borishal,2006,Kharif     ,Soyabean,18043,7813
Borishal,Borishal,2006,Kharif     ,Groundnut,4877,20181
Borishal,Borishal,2006,Kharif     ,Late Summer Vegetables,788,98
Borishal,Borishal,2006,Kharif     ,Chilli,869,9423
Borishal,Borishal,2006,Kharif     ,Ginger,742,135
Borishal,Borishal,2006,Kharif     ,Maize,2035,3696
Borishal,Borishal,2006,Kharif     ,Mashkalai ,22349,67427
Borishal,Borishal,2006,Kharif     ,Mug,450,48
Borishal,Borishal,2006,Kharif     ,Pumkin,69,26
Borishal,Borishal,2006,Rabi       ,Brinjal,141,43
Borishal,Borishal,2006,Rabi       ,Boro,10,37
Borishal,Borishal,2006,Rabi       ,Chilli,83533,30739
Borishal,Borishal,2006,Rabi       ,Corriander,18104,18991
Borishal,Borishal,2006,Rabi       ,Garlic,1779,882
Borishal,Borishal,2006,Rabi       ,Grams,24944,15440
Borishal,Borishal,2006,Rabi       ,Kheshari,15,4
Borishal,Borishal,2006,Rabi       ,Lentil,3120,23640
Borishal,Borishal,2006,Rabi       ,Mustard,139,52
Borishal,Borishal,2006,Rabi       ,Onion,167,4075
Borishal,Borishal,2006,Rabi       ,Sugarcane,386,532
Borishal,Borishal,2006,Rabi       ,Sweet Potato,10846,31974
Borishal,Borishal,2006,Rabi       ,Wheat,72,28
Borishal,Borishal,2006,Rabi       ,Potato,24,19
Borishal,Borishal,2006,Rabi       ,Cabbage,190,50
Borishal,Borishal,2006,Whole Year ,Arecanut,217,150
Borishal,Borishal,2006,Whole Year ,Banana,289,14141
Borishal,Borishal,2006,Whole Year ,Coconut ,790,6404076
Borishal,Borishal,2006,Whole Year ,Coriander,1389,385
Borishal,Borishal,2006,Whole Year ,Sugarcane,339,30937
Borishal,Borishal,2006,Whole Year ,Sunflower,60751,23561
Borishal,Borishal,2006,Whole Year ,Sweet potato,25,137
Borishal,Borishal,2006,Whole Year ,Turmeric,1,8
Borishal,Borishal,2007,Kharif     ,Jute,37000,17000
Borishal,Borishal,2007,Kharif     ,Aus rice,1000,3000
Borishal,Borishal,2007,Kharif     ,Summer vegetables,2000,1000
Borishal,Borishal,2007,Kharif     ,Cotton,3000,2000
Borishal,Borishal,2007,Kharif     ,Sesame,2000,9000
Borishal,Borishal,2007,Kharif     ,T.Aman,876000,1102000
Borishal,Borishal,2007,Kharif     ,B.Aman,4000,3000
Borishal,Borishal,2007,Kharif     ,Soyabean,7000,32000
Borishal,Borishal,2007,Kharif     ,Groundnut,1000,
Borishal,Borishal,2007,Kharif     ,Late Summer Vegetables,2000,38000
Borishal,Borishal,2007,Kharif     ,Chilli,2000,4000
Borishal,Borishal,2007,Kharif     ,Ginger,30000,95000
Borishal,Borishal,2007,Kharif     ,Maize,19000,10000
Borishal,Borishal,2007,Rabi       ,Mashkalai ,75000,78000
Borishal,Borishal,2007,Rabi       ,Boro,21000,28000
Borishal,Borishal,2007,Rabi       ,Chilli,1000,
Borishal,Borishal,2007,Rabi       ,Corriander,12000,8000
Borishal,Borishal,2007,Rabi       ,Garlic,6000,48000
Borishal,Borishal,2007,Rabi       ,Grams,14000,37000
Borishal,Borishal,2007,Rabi       ,Kheshari,26000,20000
Borishal,Borishal,2008,Kharif     ,Lentil,34067,13150
Borishal,Borishal,2008,Kharif     ,Mustard,743,1011
Borishal,Borishal,2008,Kharif     ,Onion,886,668
Borishal,Borishal,2008,Kharif     ,Sugarcane,1611,1241
Borishal,Borishal,2008,Kharif     ,Sweet Potato,1574,5506
Borishal,Borishal,2008,Kharif     ,Wheat,853577,75115
Borishal,Borishal,2008,Kharif     ,Potato,295,165
Borishal,Borishal,2008,Kharif     ,Cabbage,1782,2204
Borishal,Borishal,2008,Kharif     ,Groundnut,6041,20896
Borishal,Borishal,2008,Kharif     ,Late Summer Vegetables,629,245
Borishal,Borishal,2008,Kharif     ,Chilli,1376,23531
Borishal,Borishal,2008,Kharif     ,Ginger,60,30
Borishal,Borishal,2008,Kharif     ,Maize,1460,3678
Borishal,Borishal,2008,Kharif     ,Mashkalai ,30306,94615
Borishal,Borishal,2008,Kharif     ,Mug,112,88
Borishal,Borishal,2008,Kharif     ,Pumkin,182,248
Borishal,Borishal,2008,Rabi       ,Brinjal,26,35
Borishal,Borishal,2008,Rabi       ,Cucumber,73055,68379
Borishal,Borishal,2008,Rabi       ,Green papaya,16879,24897
Borishal,Borishal,2008,Rabi       ,Green banana,205,136
Borishal,Borishal,2008,Rabi       ,Jowar,12501,6951
